,clang-3.3,clang-3.4,clang-3.5,gcc-4.6,gcc-4.7,gcc-4.8,gcc-4.9
vm1_gc_short_lived*,11.344,11.175,11.178,9.916,10.376,9.997,9.566
vm1_gc_short_with_complex_long*,13.378,13.230,13.235,12.080,12.414,11.764,11.177
vm1_gc_short_with_long*,12.392,12.218,12.220,10.926,11.397,11.023,10.526
vm1_gc_short_with_symbol*,11.715,11.528,11.538,10.179,10.631,10.303,9.914
vm1_gc_wb_ary*,0.698,0.702,0.705,0.635,0.689,0.686,0.671
vm1_gc_wb_obj*,0.618,0.626,0.620,0.544,0.651,0.651,0.584
vm1_ivar*,0.900,0.910,0.892,0.974,0.809,0.742,0.744
vm1_ivar_set*,0.452,0.457,0.454,0.307,1.090,1.010,0.918
vm1_length*,0.543,0.532,0.531,0.488,0.499,0.494,0.536
vm1_lvar_init*,1.215,1.216,1.221,1.407,1.571,1.519,1.615
vm1_lvar_set*,2.137,2.247,2.252,2.165,2.237,2.233,2.210
vm1_neq*,0.562,0.558,0.558,0.395,0.584,0.577,0.566
vm1_not*,0.251,0.254,0.253,0.232,0.291,0.293,0.285
vm1_rescue*,0.124,0.123,0.123,0.127,0.117,0.117,0.123
vm1_simplereturn*,0.754,0.753,0.752,0.891,0.974,0.981,0.981
vm1_swap*,0.259,0.257,0.257,0.241,0.244,0.244,0.252
vm1_yield*,0.730,0.733,0.733,0.726,0.785,0.784,0.804
vm2_array*,0.759,0.736,0.734,0.770,0.766,0.764,0.777
vm2_bigarray*,7.293,7.314,7.270,8.242,7.247,7.261,8.956
vm2_bighash*,4.525,4.433,4.443,4.433,4.464,4.481,4.343
vm2_case*,0.108,0.116,0.117,0.099,0.103,0.108,0.100
vm2_defined_method*,3.251,3.252,3.243,3.022,3.232,3.216,3.263
vm2_dstr*,1.458,1.476,1.481,1.447,1.525,1.490,1.428
vm2_eval*,23.288,23.569,23.596,20.687,23.052,22.524,22.278
vm2_method*,1.320,1.298,1.301,1.489,1.544,1.537,1.572
vm2_method_missing*,2.411,2.399,2.420,2.327,2.340,2.345,2.358
vm2_method_with_block*,1.513,1.551,1.504,1.432,1.614,1.660,1.656
vm2_mutex*,0.769,0.775,0.774,0.689,0.680,0.681,0.702
vm2_newlambda*,0.916,0.899,0.898,0.849,0.856,0.852,0.826
vm2_poly_method*,2.427,2.404,2.400,2.338,2.480,2.457,2.434
vm2_poly_method_ov*,0.183,0.183,0.183,0.173,0.181,0.182,0.184
vm2_proc*,0.467,0.469,0.470,0.445,0.445,0.449,0.470
vm2_raise1*,7.574,8.085,8.077,8.885,7.639,7.790,6.873
vm2_raise2*,10.368,10.802,10.777,11.753,10.604,10.683,9.810
vm2_regexp*,1.283,1.298,1.298,1.305,1.329,1.314,1.159
vm2_send*,0.336,0.335,0.336,0.328,0.329,0.328,0.335
vm2_struct_big_aref_hi*,0.166,0.167,0.167,0.192,0.216,0.216,0.223
vm2_struct_big_aref_lo*,0.167,0.166,0.167,0.195,0.216,0.217,0.222
vm2_struct_big_aset*,0.200,0.201,0.200,0.226,0.252,0.251,0.251
vm2_struct_small_aref*,0.111,0.109,0.109,0.111,0.113,0.114,0.112
vm2_struct_small_aset*,0.200,0.202,0.201,0.228,0.248,0.247,0.245
vm2_super*,0.471,0.465,0.467,0.477,0.488,0.490,0.510
vm2_unif1*,0.165,0.165,0.165,0.193,0.203,0.205,0.195
vm2_zsuper*,0.487,0.489,0.492,0.493,0.509,0.505,0.529
vm3_backtrace,0.203,0.203,0.203,0.196,0.199,0.200,0.192
vm3_clearmethodcache,0.483,0.477,0.477,0.495,0.466,0.466,0.460
vm3_gc,2.657,2.635,2.635,2.567,2.735,2.729,2.981
vm_thread_alive_check1,0.156,0.153,0.154,0.160,0.151,0.152,0.153
vm_thread_close,4.196,4.307,4.342,4.144,4.229,4.314,4.260
vm_thread_create_join,2.120,2.103,2.146,2.141,2.130,2.135,2.114
vm_thread_mutex1,0.669,0.678,0.682,0.629,0.620,0.621,0.630
vm_thread_mutex2,1.485,1.335,0.846,0.968,1.282,1.832,1.508
vm_thread_mutex3,18.567,15.456,18.843,25.236,15.086,21.977,24.785
vm_thread_pass,0.440,0.342,0.448,0.455,0.457,0.455,0.462
vm_thread_pass_flood,0.091,0.091,0.091,0.091,0.091,0.092,0.091
vm_thread_pipe,0.421,0.425,0.406,0.440,0.411,0.431,0.397
vm_thread_queue,0.159,0.157,0.158,0.143,0.145,0.148,0.152
