"",clang-3.3,clang-3.4,clang-3.5,gcc-4.6,gcc-4.7,gcc-4.8,gcc-4.9
io_select,4.02,2.7,2.26,-1.71,-3.18,-3.84,-0.24
io_select2,-1.45,-1.34,7.03,2.85,-2.86,-1.85,-2.37
io_select3,-1.47,-1.03,-0.97,0.73,0.12,0.29,2.33
loop_for,6.95,4.5,4.43,-5.83,-5.38,-6.72,2.05
loop_generator,1.58,0.55,0.81,-2.02,0.29,0.55,-1.76
loop_times,3.28,4.83,5.96,-5.41,-6.7,-6.14,4.18
loop_whileloop,3.91,4.08,4.08,-2.89,-3.91,-4.08,-1.19
loop_whileloop2,3.63,3.63,3.63,-2.72,-3.42,-3.42,-1.31
securerandom,1.25,2.44,2.73,1.99,-4.24,-4.38,0.21
so_ackermann,-0.66,0.32,0.32,-16.0,5.11,4.96,5.95
so_array,3.36,3.99,3.99,-6.28,-5.96,-2.89,3.78
so_binary_trees,-2.27,-4.33,-4.61,2.49,3.67,5.07,-0.03
so_concatenate,0.46,0.8,0.29,-3.62,0.68,-1.87,3.26
so_count_words,6.34,6.34,6.34,-3.78,-4.56,-4.17,-6.51
so_exception,-4.98,-4.18,-4.18,10.05,5.48,2.8,-4.98
so_fannkuch,1.83,1.02,1.83,-0.84,-1.36,-0.54,-1.95
so_fasta,5.93,3.63,3.63,-9.89,-4.13,-5.2,6.02
so_k_nucleotide,-0.47,-0.39,-0.93,-7.24,8.48,7.94,-7.39
so_lists,-8.84,-10.65,-10.35,1.88,8.06,11.23,8.67
so_mandelbrot,-3.27,-5.87,-5.73,0.89,3.32,6.23,4.44
so_matrix,1.44,3.18,2.78,-1.38,-3.66,-2.18,-0.17
so_meteor_contest,4.21,2.06,2.51,-2.69,-3.29,-4.12,1.32
so_nbody,0.16,-8.5,-9.32,8.18,4.23,5.04,0.22
so_nested_loop,6.9,3.34,3.52,-5.15,-4.69,-5.24,1.33
so_nsieve,6.46,6.02,6.19,-6.5,-5.41,-5.02,-1.74
so_nsieve_bits,6.01,3.72,3.68,-3.31,-3.08,-2.58,-4.44
so_object,9.72,9.47,9.47,-9.79,-6.42,-5.92,-6.54
so_partial_sums,-1.37,-5.29,-5.13,1.0,2.34,5.86,2.59
so_pidigits,1.31,1.47,1.47,-0.49,-0.82,-1.31,-1.63
so_random,4.01,3.64,3.83,-10.4,-9.29,-10.03,18.24
so_reverse_complement,1.35,1.29,1.35,1.15,-1.13,-1.4,-2.61
so_sieve,0.95,1.31,1.31,-2.65,-1.21,-1.39,1.67
so_spectralnorm,-2.93,5.4,5.4,-3.55,-2.07,-1.73,-0.53
vm1_attr_ivar*,3.52,-0.21,0.22,-6.55,2.75,0.56,-0.29
vm1_attr_ivar_set*,3.95,-4.85,-5.28,-8.8,7.53,6.0,1.45
vm1_block*,-2.83,-2.76,-2.7,-6.01,5.13,3.54,5.62
vm1_const*,-4.42,-4.04,-4.04,1.69,5.52,3.99,1.31
vm1_ensure*,-46.41,-46.41,-46.41,40.67,33.97,44.02,20.57
vm1_float_simple*,-0.18,-3.82,-3.18,-1.61,4.2,1.72,2.87
vm1_gc_short_lived*,7.96,6.35,6.38,-5.63,-1.25,-4.86,-8.96
vm1_gc_short_with_complex_long*,7.3,6.11,6.15,-3.11,-0.44,-5.65,-10.36
vm1_gc_short_with_long*,7.49,5.98,5.99,-5.23,-1.14,-4.39,-8.7
vm1_gc_short_with_symbol*,8.17,6.45,6.54,-6.01,-1.83,-4.86,-8.46
vm1_gc_wb_ary*,2.09,2.67,3.11,-7.12,0.77,0.33,-1.86
vm1_gc_wb_obj*,0.75,2.05,1.07,-11.32,6.12,6.12,-4.8
vm1_ivar*,5.51,6.68,4.57,14.19,-5.16,-13.01,-12.78
vm1_ivar_set*,-32.51,-31.76,-32.21,-54.16,62.76,50.81,37.07
vm1_length*,4.91,2.79,2.59,-5.71,-3.59,-4.55,3.56
vm1_lvar_init*,-12.89,-12.82,-12.46,0.87,12.63,8.9,15.78
vm1_lvar_set*,-3.37,1.6,1.83,-2.11,1.15,0.97,-0.07
vm1_neq*,3.53,2.79,2.79,-27.24,7.58,6.29,4.26
vm1_not*,-5.49,-4.36,-4.73,-12.64,9.58,10.33,7.32
vm1_rescue*,1.64,0.82,0.82,4.1,-4.1,-4.1,0.82
vm1_simplereturn*,-13.28,-13.39,-13.51,2.48,12.03,12.83,12.83
vm1_swap*,3.36,2.57,2.57,-3.82,-2.62,-2.62,0.57
vm1_yield*,-3.49,-3.1,-3.1,-4.02,3.78,3.64,6.29
vm2_array*,0.13,-2.9,-3.17,1.58,1.06,0.79,2.51
vm2_bigarray*,-4.73,-4.45,-5.03,7.67,-5.33,-5.14,17.0
vm2_bighash*,1.78,-0.29,-0.07,-0.29,0.4,0.79,-2.32
vm2_case*,0.67,8.12,9.05,-7.72,-3.99,0.67,-6.79
vm2_defined_method*,1.24,1.27,0.99,-5.89,0.65,0.15,1.61
vm2_dstr*,-0.96,0.26,0.6,-1.71,3.59,1.21,-3.0
vm2_eval*,2.53,3.77,3.89,-8.92,1.49,-0.83,-1.92
vm2_method*,-8.16,-9.69,-9.48,3.6,7.42,6.94,9.37
vm2_method_missing*,1.67,1.16,2.05,-1.87,-1.33,-1.11,-0.57
vm2_method_with_block*,-3.1,-0.67,-3.68,-8.29,3.37,6.31,6.06
vm2_mutex*,6.17,7.0,6.86,-4.87,-6.11,-5.98,-3.08
vm2_newlambda*,5.18,3.23,3.12,-2.51,-1.71,-2.17,-5.15
vm2_poly_method*,0.29,-0.66,-0.83,-3.39,2.48,1.53,0.58
vm2_poly_method_ov*,0.95,0.95,0.95,-4.57,-0.16,0.39,1.5
vm2_proc*,1.68,2.12,2.33,-3.11,-3.11,-2.24,2.33
vm2_raise1*,-3.47,3.04,2.94,13.24,-2.64,-0.72,-12.4
vm2_raise2*,-2.97,1.09,0.86,9.99,-0.76,-0.02,-8.19
vm2_regexp*,-0.06,1.11,1.11,1.66,3.53,2.36,-9.72
vm2_send*,1.07,0.77,1.07,-1.33,-1.03,-1.33,0.77
vm2_struct_big_aref_hi*,-13.73,-13.21,-13.21,-0.22,12.25,12.25,15.89
vm2_struct_big_aref_lo*,-13.41,-13.93,-13.41,1.11,12.0,12.52,15.11
vm2_struct_big_aset*,-11.45,-11.01,-11.45,0.06,11.57,11.13,11.13
vm2_struct_small_aref*,-0.26,-2.05,-2.05,-0.26,1.54,2.44,0.64
vm2_struct_small_aset*,-10.88,-9.99,-10.44,1.59,10.5,10.06,9.17
vm2_super*,-2.11,-3.36,-2.94,-0.86,1.43,1.84,6.0
vm2_unif1*,-10.53,-10.53,-10.53,4.65,10.07,11.15,5.73
vm2_zsuper*,-2.71,-2.31,-1.71,-1.51,1.68,0.88,5.68
vm3_backtrace,1.79,1.79,1.79,-1.72,-0.21,0.29,-3.72
vm3_clearmethodcache,1.71,0.45,0.45,4.24,-1.87,-1.87,-3.13
vm3_gc,-1.8,-2.61,-2.61,-5.12,1.09,0.87,10.18
vm_thread_alive_check1,1.2,-0.74,-0.09,3.8,-2.04,-1.39,-0.74
vm_thread_close,-1.41,1.2,2.02,-2.63,-0.63,1.36,0.09
vm_thread_create_join,-0.33,-1.13,0.89,0.66,0.14,0.38,-0.61
vm_thread_mutex1,3.4,4.79,5.41,-2.78,-4.17,-4.02,-2.63
vm_thread_mutex2,12.31,0.96,-36.02,-26.79,-3.05,38.55,14.04
vm_thread_mutex3,-7.13,-22.69,-5.75,26.23,-24.54,9.92,23.97
vm_thread_pass,0.69,-21.74,2.52,4.12,4.58,4.12,5.72
vm_thread_pass_flood,-0.16,-0.16,-0.16,-0.16,-0.16,0.94,-0.16
vm_thread_pipe,0.55,1.5,-3.04,5.08,-1.84,2.93,-5.19
vm_thread_queue,4.8,3.48,4.14,-5.74,-4.43,-2.45,0.19
